customer_id,name,phone,address,created_at
1,Ravi,9000000001,Hyderabad,"2025-11-01 14:08:39"
2,Sita,9000000002,Vizag,"2025-11-01 14:08:39"
3,Kumar,9000000003,Vijayawada,"2025-11-01 14:08:39"
4,Aarav,9876543210,Hyderabad,"2025-11-04 10:27:09"
5,"Priya Sharma",9100000012,Vizag,"2025-11-04 10:27:09"
6,"Arjun Reddy",9100000003,Vijayawada,"2025-11-04 10:27:09"
7,"Kavya Nair",9000000004,Guntur,"2025-11-04 10:27:09"
8,"Sandeep Rao",9000000005,Hyderabad,"2025-11-04 10:27:09"
9,"Swetha Das",9000000006,Rajahmundry,"2025-11-04 10:27:09"
10,"Rahul Jain",9000000007,Kurnool,"2025-11-04 10:27:09"
11,"Divya Iyer",9000000008,Vijayawada,"2025-11-04 10:27:09"
12,"Vamsi Krishna",9000000009,Vizag,"2025-11-04 10:27:09"
13,"Tejaswini G",9000000010,Warangal,"2025-11-04 10:27:09"
14,"Kiran Babu",9000000011,Hyderabad,"2025-11-04 10:27:09"
15,"Meena Reddy",9000000012,Vijayawada,"2025-11-04 10:27:09"
16,"Pavan Kumar",9000000013,Guntur,"2025-11-04 10:27:09"
17,"Aishwarya G",9000000014,Vizag,"2025-11-04 10:27:09"
18,"Lokesh Varma",9000000015,Hyderabad,"2025-11-04 10:27:09"
19,"Nisha Patil",9000000016,Rajahmundry,"2025-11-04 10:27:09"
20,"Manoj Sai",9000000017,Kurnool,"2025-11-04 10:27:09"
21,"Harika Devi",9000000018,Tirupati,"2025-11-04 10:27:09"
22,"Rohit Rao",9000000019,Hyderabad,"2025-11-04 10:27:09"
23,"Chandana K",9000000020,Vizag,"2025-11-04 10:27:09"
24,"Sravani R",9000000021,Vijayawada,"2025-11-04 10:27:09"
25,"Gopi Krishna",9000000022,Hyderabad,"2025-11-04 10:27:09"
26,"Anjali Das",9000000023,Rajahmundry,"2025-11-04 10:27:09"
27,"Srikar V",9000000024,Guntur,"2025-11-04 10:27:09"
28,"Deepika P",9000000025,Vizag,"2025-11-04 10:27:09"
29,"Vivek N",9000000026,Hyderabad,"2025-11-04 10:27:09"
30,"Lavanya T",9000000027,Vijayawada,"2025-11-04 10:27:09"
31,"Sai Teja",9000000028,Tirupati,"2025-11-04 10:27:09"
32,"Bhavana L",9000000029,Vizag,"2025-11-04 10:27:09"
33,"Karthik D",9000000030,Hyderabad,"2025-11-04 10:27:09"
34,"Sneha P",9000000031,Warangal,"2025-11-04 10:27:09"
35,"Madhav R",9000000032,Guntur,"2025-11-04 10:27:09"
36,"Neha A",9000000033,Vizag,"2025-11-04 10:27:09"
37,"Surya V",9000000034,Rajahmundry,"2025-11-04 10:27:09"
38,"Monica G",9000000035,Vijayawada,"2025-11-04 10:27:09"
39,"Tarun K",9000000036,Hyderabad,"2025-11-04 10:27:09"
40,"Varsha R",9000000037,Vizag,"2025-11-04 10:27:09"
41,"Anil Kumar",9000000038,Tirupati,"2025-11-04 10:27:09"
42,"Pooja S",9000000039,Hyderabad,"2025-11-04 10:27:09"
43,"Akhil Reddy",9000000040,Warangal,"2025-11-04 10:27:09"
44,"Keerthi S",9000000041,Vijayawada,"2025-11-04 10:27:09"
45,"Charan K",9000000042,Guntur,"2025-11-04 10:27:09"
46,"Harini P",9000000043,Vizag,"2025-11-04 10:27:09"
47,"Sumanth R",9000000044,Rajahmundry,"2025-11-04 10:27:09"
48,"Meghana V",9000000045,Hyderabad,"2025-11-04 10:27:09"
49,"Rakesh G",9000000046,Vijayawada,"2025-11-04 10:27:09"
50,"Anusha S",9000000047,Vizag,"2025-11-04 10:27:09"
51,"Vijay T",9000000048,Tirupati,"2025-11-04 10:27:09"
52,"Snehalatha G",9000000049,Guntur,"2025-11-04 10:27:09"
53,"Krishna M",9000000050,Hyderabad,"2025-11-04 10:27:09"
54,"Shreya R",9000000051,Warangal,"2025-11-04 10:27:09"
55,"Dinesh K",9000000052,Vizag,"2025-11-04 10:27:09"
56,"Trisha A",9000000053,Rajahmundry,"2025-11-04 10:27:09"
57,"Vinay B",9000000054,Vijayawada,"2025-11-04 10:27:09"
58,"Harsha V",9000000055,Hyderabad,"2025-11-04 10:27:09"
59,"Aarti N",9000000056,Vizag,"2025-11-04 10:27:09"
60,"Rithvik D",9000000057,Guntur,"2025-11-04 10:27:09"
61,"Navya S",9000000058,Tirupati,"2025-11-04 10:27:09"
62,"Kiran R",9000000059,Hyderabad,"2025-11-04 10:27:09"
63,"Shruthi G",9000000060,Vijayawada,"2025-11-04 10:27:09"
64,"Abhinav K",9000000061,Vizag,"2025-11-04 10:27:09"
65,"Divya P",9000000062,Rajahmundry,"2025-11-04 10:27:09"
66,"Rohini L",9000000063,Warangal,"2025-11-04 10:27:09"
67,"Praveen N",9000000064,Hyderabad,"2025-11-04 10:27:09"
68,"Varun R",9000000065,Guntur,"2025-11-04 10:27:09"
69,"Sneha K",9000000066,Vizag,"2025-11-04 10:27:09"
70,"Akhila M",9000000067,Vijayawada,"2025-11-04 10:27:09"
71,"Suresh B",9000000068,Rajahmundry,"2025-11-04 10:27:09"
72,"Ananya T",9000000069,Hyderabad,"2025-11-04 10:27:09"
73,"Venu G",9000000070,Warangal,"2025-11-04 10:27:09"
74,"Lakshmi S",9000000071,Vizag,"2025-11-04 10:27:09"
75,"Vikram D",9000000072,Tirupati,"2025-11-04 10:27:09"
76,"Sindhu G",9000000073,Hyderabad,"2025-11-04 10:27:09"
77,"Nikhil K",9000000074,Vijayawada,"2025-11-04 10:27:09"
78,"Bharath R",9000000075,Vizag,"2025-11-04 10:27:09"
79,"Pavani P",9000000076,Guntur,"2025-11-04 10:27:09"
80,"Aman V",9000000077,Rajahmundry,"2025-11-04 10:27:09"
81,"Chaitanya S",9000000078,Hyderabad,"2025-11-04 10:27:09"
82,"Nandini L",9000000079,Vijayawada,"2025-11-04 10:27:09"
83,"Suraj R",9000000080,Vizag,"2025-11-04 10:27:09"
84,"Haritha K",9000000081,Hyderabad,"2025-11-04 10:27:09"
